airport,Latitude,Longitude,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
ATL,-84.4281,33.6367,1591930,220012,60830,7663,74640,239,76628,13322,3386,14611267,5381265,785839,3489347,12996,4941820
DFW,-97.038,32.8968,918609,159210,40031,5849,50793,280,62264,14930,3693,11073435,3573457,565215,2312917,13476,4608370
LAX,-118.40700000000001,33.9425,832934,183047,49480,4811,73675,290,54797,8363,1057,9862678,3042112,387154,2799996,15213,3618203
ORD,-87.9048,41.9786,776274,149735,35793,4280,64865,150,44645,11752,2188,10052438,2494077,410215,3620942,8299,3518905
DEN,-104.67200000000001,39.86169,760536,133116,40050,4906,37362,236,50563,6350,2413,7396786,2256830,403499,1563620,8287,3164550
LAS,-115.152,36.0801,695548,128499,34789,3525,33450,260,56466,4897,979,6689440,1832922,290440,1455996,10535,3099547
PHX,-112.012,33.434290000000004,620489,115136,34287,2418,29729,254,48468,4789,966,5761149,1823180,194454,1049961,10086,2683468
SFO,-122.375,37.618990000000004,559464,138044,30794,4195,66286,94,36674,7241,1100,8747042,1961665,345219,3777531,5425,2657202
IAH,-95.3414,29.98439,413536,68414,21949,2587,22923,66,20882,5598,1254,4261622,1357419,214876,1041691,2999,1644637
EWR,-74.1687,40.6925,386398,91613,19386,2905,47540,55,21755,7063,1235,6307566,1333573,265581,2917022,3459,1787931
MIA,-80.2906,25.79319,356235,66093,20288,2318,23811,155,19505,4448,1115,4121651,1471810,206325,917035,8628,1517853
BOS,-71.0052,42.364290000000004,345765,71477,20349,2762,26550,84,21742,6246,351,4316345,1190653,234952,1356778,4113,1529849
PHL,-75.241,39.87189,268798,54057,14870,2167,20984,94,15950,4324,477,3286116,922941,184179,1080137,4823,1094036
DCA,-77.0376,38.8521,262055,47253,14333,2006,16093,54,14771,4937,838,2641778,799059,168689,732592,3452,937986
JFK,-73.7789,40.6398,255644,50973,12404,1370,25513,84,11604,3252,924,3699359,1048915,153409,1513083,5315,978637
