airport_name,weather_delay
"Miami, FL: Miami International",131647.0
"Phoenix, AZ: Phoenix Sky Harbor International",143134.0
"Seattle, WA: Seattle/Tacoma International",166385.0
"Las Vegas, NV: McCarran International",188587.0
"New York, NY: John F. Kennedy International",190494.0
"Orlando, FL: Orlando International",193877.0
"Charlotte, NC: Charlotte Douglas International",216007.0
"Newark, NJ: Newark Liberty International",248627.0
"Houston, TX: George Bush Intercontinental/Houston",280236.0
"Denver, CO: Denver International",302025.0
