airport_name,arr_cancelled
"Chicago, IL: Chicago O'Hare International",15827.0
"Newark, NJ: Newark Liberty International",10849.0
"Atlanta, GA: Hartsfield-Jackson Atlanta International",10462.0
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",10348.0
"Charlotte, NC: Charlotte Douglas International",9485.0
"San Francisco, CA: San Francisco International",8414.0
"Houston, TX: George Bush Intercontinental/Houston",7381.0
"New York, NY: John F. Kennedy International",7021.0
"Denver, CO: Denver International",6725.0
"Los Angeles, CA: Los Angeles International",6165.0
