airport_name,late_aircraft_ct
"Atlanta, GA: Hartsfield-Jackson Atlanta International",61612.95999999998
"Chicago, IL: Chicago O'Hare International",55122.70000000005
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",43959.530000000006
"Denver, CO: Denver International",43021.979999999974
"Los Angeles, CA: Los Angeles International",41230.44000000001
"San Francisco, CA: San Francisco International",38204.189999999966
"Las Vegas, NV: McCarran International",35245.719999999994
"Phoenix, AZ: Phoenix Sky Harbor International",33073.75999999997
"Orlando, FL: Orlando International",27551.12
"Charlotte, NC: Charlotte Douglas International",26285.41
