flight_year,airport,Latitude,Longitude,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2013,ATL,-84.4281,33.6367,227010,36233,9022,999,14778,27,11408,878,382,2214355,827433,92374,605756,2031,686761
2013,BOS,-71.0052,42.364290000000004,43844,8975,2933,344,2940,13,2752,453,62,493713,157020,24483,134536,479,177195
2013,DCA,-77.0376,38.8521,30114,5253,1759,225,1798,4,1477,456,93,291023,96137,16726,88438,416,89306
2013,DEN,-104.67200000000001,39.86169,114564,23668,6814,800,7143,85,8827,860,347,1206783,341206,65177,288048,2451,509901
2013,DFW,-97.038,32.8968,165273,28486,6170,988,8586,28,12720,3760,737,1809771,538440,81446,345044,1276,843565
2013,EWR,-74.1687,40.6925,60808,13566,2965,433,6769,14,3385,800,233,838168,181906,38084,378014,671,239493
2013,IAH,-95.3414,29.98439,71637,11758,3985,401,3588,13,3767,551,146,670442,233239,27973,132792,503,275935
2013,JFK,-73.7789,40.6398,39014,7062,1693,153,3848,9,1360,314,122,425901,126897,12208,181386,1165,104245
2013,LAS,-115.152,36.0801,115573,21619,5783,557,5229,50,10000,568,132,1042258,277338,42247,212951,2050,507672
2013,LAX,-118.40700000000001,33.9425,128532,25598,7873,642,7999,60,9022,1180,177,1306532,422872,44332,288114,4017,547197
2013,MIA,-80.2906,25.79319,59095,9852,2878,416,3213,17,3328,362,146,572357,195756,26152,114215,1541,234693
2013,ORD,-87.9048,41.9786,117811,23808,5658,531,9983,26,7616,1876,324,1515865,366751,45285,541165,1598,561066
2013,PHL,-75.241,39.87189,22849,5977,1607,331,2257,8,1773,219,53,375654,93420,26759,141814,398,113263
2013,PHX,-112.012,33.434290000000004,79231,16216,4991,309,3280,55,7583,505,70,735336,227659,21612,108584,1490,375991
2013,SFO,-122.375,37.618990000000004,89238,21593,4999,637,10307,21,5624,1292,210,1301088,293783,50473,571179,958,384695
2014,ATL,-84.4281,33.6367,253846,39144,10231,1214,13636,12,14051,3031,424,2371228,871373,115879,562838,613,820525
2014,BOS,-71.0052,42.364290000000004,46401,10413,3203,425,3445,6,3335,669,48,588236,177011,31867,157980,537,220841
2014,DCA,-77.0376,38.8521,32859,6232,2064,253,2042,3,1865,627,101,319745,105552,17440,86526,236,109991
2014,DEN,-104.67200000000001,39.86169,113272,24000,7331,942,6253,30,9447,900,403,1285797,380287,77877,258178,1067,568388
2014,DFW,-97.038,32.8968,167029,32919,7168,1194,10100,21,14440,2839,732,2234123,662123,114324,430002,777,1026897
2014,EWR,-74.1687,40.6925,59857,14086,3319,496,6584,2,3691,1283,139,883135,203347,40364,372077,204,267143
2014,IAH,-95.3414,29.98439,69805,13356,4642,540,4150,1,4023,827,215,759958,251921,39424,168860,54,299699
2014,JFK,-73.7789,40.6398,42631,8768,2162,224,4498,5,1880,469,217,540506,159053,27997,216477,300,136679
2014,LAS,-115.152,36.0801,112810,24701,6885,613,5375,30,11797,800,140,1236229,341660,50594,211488,950,631537
2014,LAX,-118.40700000000001,33.9425,132487,30522,9255,860,9670,30,10709,1364,153,1616901,519779,70542,340619,1060,684901
2014,MIA,-80.2906,25.79319,59609,10386,3008,414,3809,9,3141,502,258,609697,205846,34367,143205,410,225869
2014,ORD,-87.9048,41.9786,115273,27945,6209,713,12994,5,8024,2541,439,1713468,385561,63704,684229,245,579729
2014,PHL,-75.241,39.87189,23351,6281,1910,312,2154,4,1902,441,44,383289,108475,26959,123825,205,123825
2014,PHX,-112.012,33.434290000000004,78320,18191,5776,325,3145,21,8926,656,126,891053,278995,25790,109860,1042,475366
2014,SFO,-122.375,37.618990000000004,92440,26010,6033,858,11809,5,7307,1422,155,1550311,341836,67054,625705,638,515078
2015,ATL,-84.4281,33.6367,303502,39494,11671,1615,12567,53,13590,1774,894,2581636,966362,164236,589293,2607,859138
2015,BOS,-71.0052,42.364290000000004,63051,12716,4039,494,4084,15,4086,1258,61,745410,231328,40006,187805,763,285508
2015,DCA,-77.0376,38.8521,51968,9035,2905,416,2916,11,2783,1018,189,498092,158022,36829,126909,673,175659
2015,DEN,-104.67200000000001,39.86169,133623,23981,7753,1011,6442,26,8745,1154,447,1384028,450516,77558,271054,881,584019
2015,DFW,-97.038,32.8968,166726,27567,7808,1168,8819,57,9709,3424,780,1961256,678401,115124,391722,2550,773459
2015,EWR,-74.1687,40.6925,65225,13559,3873,538,5096,6,4052,1251,172,909748,239602,45225,304408,312,320201
2015,IAH,-95.3414,29.98439,75611,15053,5057,587,4892,18,4498,922,295,940638,298267,45381,229064,893,367033
2015,JFK,-73.7789,40.6398,48512,9573,2316,272,4562,14,2405,688,130,691354,191876,26612,271535,682,200649
2015,LAS,-115.152,36.0801,125928,21904,6290,684,5428,46,9459,764,189,1182577,343411,54870,238275,1569,544452
2015,LAX,-118.40700000000001,33.9425,148678,32020,9377,973,11959,51,9659,1615,198,1772499,582209,76628,456409,2196,655057
2015,MIA,-80.2906,25.79319,65387,12767,4017,447,4656,38,3606,615,217,769912,283720,41152,166326,1585,277129
2015,ORD,-87.9048,41.9786,141954,27790,7376,845,11170,31,8366,2520,392,1866545,477076,75217,642316,1374,670562
2015,PHL,-75.241,39.87189,46780,8982,2611,379,3404,21,2574,559,78,521092,151861,30627,169380,884,168340
2015,PHX,-112.012,33.434290000000004,108892,18645,6006,502,4333,42,7762,729,150,950728,323188,39501,152105,1661,434273
2015,SFO,-122.375,37.618990000000004,95472,20285,5807,768,7675,10,6021,1239,116,1247342,356456,59363,403310,520,427693
2016,ATL,-84.4281,33.6367,315799,38196,11658,1335,11543,44,13610,1762,581,2707980,1097031,129948,541617,2019,937365
2016,BOS,-71.0052,42.364290000000004,73376,14594,4131,500,5609,23,4324,926,69,856569,240603,42214,270367,1300,302085
2016,DCA,-77.0376,38.8521,59956,11022,3147,445,4236,16,3179,1216,177,621411,181627,38765,190649,658,209712
2016,DEN,-104.67200000000001,39.86169,150341,21981,6766,889,6071,24,8227,1847,611,1269544,412671,71215,249022,906,535730
2016,DFW,-97.038,32.8968,161094,28056,7934,933,9331,71,9794,1765,635,2033262,699885,97598,460764,3611,771404
2016,EWR,-74.1687,40.6925,72155,15435,3767,528,7170,10,3970,1082,256,1090088,260743,41852,436951,788,349754
2016,IAH,-95.3414,29.98439,74450,11099,3428,405,4020,15,3226,772,286,761069,232433,38086,226734,717,263099
2016,JFK,-73.7789,40.6398,49271,9511,2530,228,4227,23,2506,542,182,721280,231005,24606,246964,1208,217497
2016,LAS,-115.152,36.0801,132284,22280,5944,712,6433,47,9142,1078,210,1221282,334731,59846,302626,2340,521739
2016,LAX,-118.40700000000001,33.9425,165249,38672,9596,868,17746,61,10410,1570,233,2101769,617274,74680,684835,2934,722046
2016,MIA,-80.2906,25.79319,67655,13738,4317,402,5182,46,3787,742,213,890459,329385,39334,205879,2178,313683
2016,ORD,-87.9048,41.9786,152964,28375,6953,804,12412,32,8171,1801,344,1974649,513875,82179,707878,2127,668590
2016,PHL,-75.241,39.87189,67158,11687,3331,423,4361,31,3547,849,106,692318,210542,34793,205505,1459,240019
2016,PHX,-112.012,33.434290000000004,137419,23026,6579,520,7109,53,8771,1152,330,1192551,381767,44472,253936,2073,510303
2016,SFO,-122.375,37.618990000000004,105174,24987,5553,804,11974,26,6638,1204,170,1614432,372356,64975,684881,1433,490787
2017,ATL,-84.4281,33.6367,309770,40265,11293,1389,12684,69,14822,4547,697,2860079,1032254,164120,677739,3946,982020
2017,BOS,-71.0052,42.364290000000004,72998,15699,3669,632,6995,14,4401,1539,82,1042790,235176,60782,415926,619,330287
2017,DCA,-77.0376,38.8521,55412,9532,2671,386,3109,11,3355,938,160,543952,157450,33424,139805,950,212323
2017,DEN,-104.67200000000001,39.86169,157001,24175,7002,770,6854,43,9510,925,259,1353671,408891,67082,288325,1955,587418
2017,DFW,-97.038,32.8968,160946,25215,6810,825,8403,71,9102,1749,464,1792798,618752,85739,395753,4092,688462
2017,EWR,-74.1687,40.6925,78993,21358,3323,580,13472,12,3972,1352,226,1572026,266208,56393,884473,856,364096
2017,IAH,-95.3414,29.98439,76088,10020,2943,338,3514,17,3215,2080,190,663896,205899,29274,162778,716,265229
2017,JFK,-73.7789,40.6398,47037,10688,2317,264,5853,17,2232,707,146,901547,221299,31558,438706,1211,208773
2017,LAS,-115.152,36.0801,130370,23887,6063,620,6978,51,10171,1113,184,1244184,329589,53251,302031,2223,557090
2017,LAX,-118.40700000000001,33.9425,158301,37494,8052,894,19002,57,9492,1632,202,2023443,550409,70930,761067,3535,637502
2017,MIA,-80.2906,25.79319,66091,11965,3786,367,4255,32,3522,1724,181,772475,277996,38434,169997,1696,284352
2017,ORD,-87.9048,41.9786,157028,24765,6002,721,10534,42,7461,1646,395,1741386,478173,76864,566533,2329,617487
2017,PHL,-75.241,39.87189,66772,12424,3207,408,5178,20,3611,1128,109,749695,206898,33794,251382,1333,256288
2017,PHX,-112.012,33.434290000000004,135547,22284,6578,434,5570,49,9659,981,190,1119604,357029,35316,183015,2522,541722
2017,SFO,-122.375,37.618990000000004,106414,28274,4793,709,16137,19,6615,1274,311,1934697,345454,63726,1022906,1204,501407
2018,ATL,-84.4281,33.6367,182003,26680,6955,1111,9432,34,9147,1330,408,1875989,586812,119282,512104,1780,656011
2018,BOS,-71.0052,42.364290000000004,46095,9080,2374,367,3477,13,2844,1401,29,589627,149515,35600,190164,415,213933
2018,DCA,-77.0376,38.8521,31746,6179,1787,281,1992,9,2112,682,118,367555,100271,25505,100265,519,140995
2018,DEN,-104.67200000000001,39.86169,91735,15311,4384,494,4599,28,5807,664,346,896963,263259,44590,208993,1027,379094
2018,DFW,-97.038,32.8968,97541,16967,4141,741,5554,32,6499,1393,345,1242225,375856,70984,289632,1170,504583
2018,EWR,-74.1687,40.6925,49360,13609,2139,330,8449,11,2685,1295,209,1014401,181767,43663,541099,628,247244
2018,IAH,-95.3414,29.98439,45945,7128,1894,316,2759,2,2153,446,122,465619,135660,34738,121463,116,173642
2018,JFK,-73.7789,40.6398,29179,5371,1386,229,2525,16,1221,532,127,418771,118785,30428,158015,749,110794
2018,LAS,-115.152,36.0801,78583,14108,3824,339,4007,36,5897,574,124,762910,206193,29632,188625,1403,337057
2018,LAX,-118.40700000000001,33.9425,99687,18741,5327,574,7299,31,5505,1002,94,1041534,349569,50042,268952,1471,371500
2018,MIA,-80.2906,25.79319,38398,7385,2282,272,2696,13,2121,503,100,506751,179107,26886,117413,1218,182127
2018,ORD,-87.9048,41.9786,91244,17052,3595,666,7772,14,5007,1368,294,1240525,272641,66966,478821,626,421471
2018,PHL,-75.241,39.87189,41888,8706,2204,314,3630,10,2543,1128,87,564068,151745,31247,188231,544,192301
2018,PHX,-112.012,33.434290000000004,81080,16774,4357,328,6292,34,5767,766,100,871877,254542,27763,242461,1298,345813
2018,SFO,-122.375,37.618990000000004,70726,16895,3609,419,8384,13,4469,810,138,1099172,251780,39628,469550,672,337542
